disc-reason-150,PPP-IPV6CP-negotiation-failed
disc-reason-151,PPP-IPV6CP-no-response
disc-reason-152,PPP-IPV6CP-max-retry-reached
disc-reason-153,PPP-Restart-Invalid-source-IPV4-address
disc-reason-154,a11-disconnect-handoff-no-active-stop
disc-reason-155,call-restarted-inter-pdsn-handoff
disc-reason-156,call-restarted-ppp-termination
disc-reason-157,mipfa-resource-conflict
disc-reason-158,failed-auth-with-charging-svc
disc-reason-159,mipha-dup-imsi-session-purge
disc-reason-160,mipha-rev-pending-newcall
disc-reason-161,volume-quota-reached
disc-reason-162,duration-quota-reached
disc-reason-163,gtp-user-auth-failed
disc-reason-164,MIP-Reg-Revocation-no-lcp-term
disc-reason-165,MIP-private-ip-no-rev-tunnel
disc-reason-166,Invalid-Prepaid-AAA-attr-in-auth-response
disc-reason-167,mipha-prepaid-reset-dynamic-newcall
disc-reason-168,gre-flow-control-timeout
disc-reason-169,mip-paaa-bc-query-not-found
disc-reason-170,mipha-dynamic-ip-addr-not-available
disc-reason-171,a11-mismatched-id-on-handoff
disc-reason-172,a11-badly-formed-on-handoff
disc-reason-173,a11-unsupported-vendor-id-on-handoff
disc-reason-174,a11-t-bit-not-set-on-handoff
disc-reason-175,MIP-Reg-Revocation-i-bit-on
disc-reason-176,a11-RRQ-Deny-Max-Count
disc-reason-177,Dormant-Transition-During-Session-Setup
disc-reason-178,PPP-Rem-Reneg-Disc-Always-Cfg
disc-reason-179,PPP-Rem-Reneg-Disc-NAI-MSID-Mismatch
disc-reason-180,mipha-subscriber-ipsec-tunnel-down
disc-reason-181,mipha-subscriber-ipsec-tunnel-fail
disc-reason-182,mipha-subscriber-ipsecmgr-death
disc-reason-183,flow-is-deactive
disc-reason-184,ecs-license-exceeded
disc-reason-185,IPSG-Auth-failed
disc-reason-186,driver-initiated
disc-reason-187,ims-authorization-failed
disc-reason-188,service-instance-released
disc-reason-189,flow-release
disc-reason-190,ppp-renego-no-ha-addr
disc-reason-191,intra-pdsn-handoff
disc-reason-192,overload-disconnect
disc-reason-193,css-service-not-found
disc-reason-194,DescriptionThis
disc-reason-195,dhcp-client-sent-release
disc-reason-196,dhcp-client-sent-nak
disc-reason-197,msid-dhcp-chaddr-mismatch
disc-reason-198,link-broken
disc-reason-199,prog-end-timeout
disc-reason-200,qos-update-wait-timeout
disc-reason-201,css-synch-cause
disc-reason-202,Gtp-context-replacement
disc-reason-203,PDIF-Auth-failed
disc-reason-204,l2tp-unknown-apn
disc-reason-205,ms-unexpected-network-reentry
disc-reason-206,r6-invalid-nai
disc-reason-207,eap-max-retry-reached
disc-reason-208,vbm-hoa-session-disconnected
disc-reason-209,vbm-voa-session-disconnected
disc-reason-210,in-acl-disconnect-on-violation
disc-reason-211,eap-msk-lifetime-expiry
disc-reason-212,eap-msk-lifetime-too-low
disc-reason-213,inter-service-handoff
disc-reason-214,r6-max-retry-reached
disc-reason-215,r6-nwexit-recd
disc-reason-216,r6-dereg-req-recd
disc-reason-217,r6-remote-failure
disc-reason-218,r6r4-protocol-errors
disc-reason-219,wimax-qos-invalid-aaa-attr
disc-reason-220,npu-gre-flows-not-available
disc-reason-221,r4-max-retry-reached
disc-reason-222,r4-nwexit-recd
disc-reason-223,r4-dereg-req-recd
disc-reason-224,r4-remote-failure
disc-reason-225,ims-authorization-revoked
disc-reason-226,ims-authorization-released
disc-reason-227,ims-auth-decision-invalid
disc-reason-228,mac-addr-validation-failed
disc-reason-229,excessive-wimax-pd-flows-configured
disc-reason-230,sgsn-cancel-location-subs-withdraw
disc-reason-231,sgsn-cancel-location-update
disc-reason-232,sgsn-mnr-expiry
disc-reason-233,sgsn-identity-failure
disc-reason-234,sgsn-security-failure
disc-reason-235,sgsn-auth-failure
disc-reason-236,sgsn-glu-failure
disc-reason-237,sgsn-implicit-detach
disc-reason-238,sgsn-subscriber-moved-to-different-smgr-instance
disc-reason-239,sgsn-subscriber-moved-to-peer-sgsn
disc-reason-240,sgsn-dns-failure-inter-rau
disc-reason-241,sgsn-context-response-failure
disc-reason-242,sgsn-hlr-not-found-for-ims
disc-reason-243,sgsn-ms-init-detach
disc-reason-244,sgsn-roaming-not-allowed
disc-reason-245,sgsn-duplicate-context
disc-reason-246,hss-profile-update-failed
disc-reason-247,inactive-without-activating-any-pdp
disc-reason-248,asnpc-idle-mode-timeout
disc-reason-249,asnpc-idle-mode-exit
disc-reason-250,asnpc-idle-mode-entry-auth-failed
disc-reason-251,asngw-invalid-qos-configuration
